,Product Name,Prices,Description,Review
558,"Whirlpool 7 kg Magic Clean 5 Star Semi Automatic Top Load Washing Machine Black, Grey","₹10,240",1400 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty and 5 Years Warranty on Wash Motor,
559,realme TechLife 7 kg 5 Star Power Clean Fully Automatic Front Load Washing Machine with In-built Heate...,"₹21,490",1400 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor from realme TechLife,
560,"MarQ by Flipkart 6.5 kg 5 Star rating Semi Automatic Top Load Washing Machine Grey, White","₹7,190",1350 rpm Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Wash Motor from MarQ by Flipkart,
561,Godrej 7 kg 5 Star with Turbo 6 Pulsator Washing Machine Fully Automatic Top Load Grey,"₹14,490",720 rpm Max Speed5 Star Rating2 Years on Product and 10 Years on Motor from Godrej,
562,"Whirlpool 7.5 kg Magic Clean 5 Star Semi Automatic Top Load Washing Machine Black, Grey","₹11,490",1400 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty and 5 Years Warranty on Wash Motor,
563,"LG 8 kg Semi Automatic Top Load Washing Machine Grey, White","₹15,869",1350 RPM Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Motor From LG,
564,"Voltas Beko 14 kg Semi Automatic Top Load Washing Machine Grey, White","₹14,430",1300 rpm Max Speed5 Star Rating2 Years Warranty on Product and 5 Years only Motor Warranty,
565,"Voltas Beko 14 kg Semi Automatic Top Load Washing Machine Grey, White","₹14,950","1350 RPM Max Speed5 Star Rating2 Years Comprehensive Warranty on Product, 5 Years Spin Motor Warranty and 10 Years Motor Warranty",
566,"Thomson 7.5 kg Semi Automatic Top Load Washing Machine Black, Grey","₹8,490",1400 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years Warranty on Motor,
567,SAMSUNG 10 kg WiFi Enabled Inverter 5 Star with Ecobubble Technology Fully Automatic Top Load Washing ...,"₹26,500",700 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on the Product and 20 Years Warranty on the DIT Motor,
568,realme TechLife 6 kg 5 Star Power Clean Fully Automatic Front Load Washing Machine with In-built Heate...,"₹18,990",1000 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor from realme TechLife,
569,"LG 7 kg Semi Automatic Top Load Washing Machine White, Blue","₹13,589",1350 RPM Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Motor From LG,
570,Haier 8 Kg 5 Star Anti-Bacterial Vortex Pulsator Semi Automatic Top Load Washing Machine Multicolor,"₹11,690","1300 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product, 5 Years Warranty on Wash & Spin Motor from Haier",
571,"IFB 7 kg 5 Star 2X Power Steam, Hard Water Wash Fully Automatic Front Load Washing Machine with In-bui...","₹28,990","1000 rpm Max Speed5 Star Rating4 Years Comprehensive Warranty on Product, 10 Years Warranty on Motor and 10 Years Spares Support",
572,MOTOROLA 10.5 kg Smart Wi-Fi Enabled Steam Wash Inverter Technology Fully Automatic Front Load Washing...,"₹28,990",1400 rpm Max Speed5 Star Rating2 Years Comprehensive and 10 Years on Motor From Motorola,
573,"IFB 8 kg 5 Star 3D Wash System, Triadic Pulsator, Smart Sense 4 years Comprehensive Warranty? Fully Au...","₹23,990","720 rpm Max Speed5 Star Rating4 Years Comprehensive Warranty, 10 Years Motor Warranty, 10 Years Warranty Spares Support",
574,"IFB 7 kg Fully Automatic Top Load Washing Machine with In-built Heater Black, Grey","₹21,428","720 RPM Max Speed5 Star Rating4 Years Super Warranty, 10 Years Spare Parts Support, 10 Years Motor Warranty",
575,ONIDA 8 kg 5 Star With Hexa Crystal Drum Technology Fully Automatic Top Load Washing Machine Black,"₹15,490",700 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty and 5 Years Warranty on Wash Motor from Onida,
